,plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
14,51 Peg b,4.230785,0.46,0.0521068,0.013,80.0,1.9,,,1,RV,1995,344.3660417,20.76868333,0.666,5.45,15.6079,1.054,1.02451,5786.68,4.44905,0.199853,3.6e-05,0.01,0.000868447,0.012,19.0,0.3,,,0.0931234,0.039,0.0355286,44.0,0.06,0.03,-3.6e-05,0.06,0.000868447,0.012,10.0,0.3,,,0.0920248,0.036,0.0355286,44.0,0.06,0.03,2.57216,0.5,0.5,4.0,2.5,2.5,0.148345,-5.07959
36,BD -10 3166 b,3.4878,0.429903,0.0437823,0.0104,,1.03,,,1,RV,2000,164.6199167,-10.77036111,0.903,10.08,82.15,0.92,0.745254,5393.03,4.68527,0.381727,0.0001,0.0174084,0.000729706,0.0104,,,,,3.17,0.046,0.0293836,44.0,0.06,0.03,0.0001,0.0174084,0.000729706,0.0192,,,,,-2.95,0.024,0.0293836,44.0,0.06,0.03,0.921575,0.5,0.5,4.18,,,0.215648,-4.90713
37,CoRoT-1 b,1.5089557,1.03,0.0254,0.0,85.1,1.49,77.0,0.420251,1,Transit,2008,102.0798833,-3.102111111,0.16,13.6,460.0,0.95,1.11,6298.0,4.25,-0.3,6.4e-06,0.12,0.0004,,0.5,0.08,11.0,0.036655,100.0,0.15,0.05,66.0,0.3,0.25,6.4e-06,0.12,0.0004,,0.5,0.08,11.0,0.036655,100.0,0.15,0.05,66.0,-0.3,-0.25,5.2,1.0,-1.0,,,,,
39,CoRoT-11 b,2.99433,2.33,0.04351,0.0,83.17,1.43,0.1,0.818,1,Transit,2010,280.6872917,5.937694444,0.93,12.8,560.0,1.27,1.37,6343.0,4.22,-0.03,1.1e-05,0.27,0.00036,,0.15,0.03,2.6,0.008,30.0,0.05,0.03,72.0,0.23,0.08,-1.1e-05,0.27,0.00036,,-0.15,-0.03,2.6,-0.008,30.0,0.05,-0.03,72.0,-0.23,-0.08,40.0,5.0,-5.0,2.0,1.0,1.0,,
40,CoRoT-12 b,2.828042,0.917,0.04016,0.07,85.48,1.44,,0.573,1,Transit,2010,100.765675,-1.296416666,0.828,15.515,1150.0,1.078,1.116,5675.0,4.375,0.16,1.3e-05,0.07,0.00092,0.042,0.72,0.13,,0.027,85.0,0.072,0.092,80.0,0.065,0.1,-1.3e-05,0.065,0.00092,0.042,-0.77,0.13,,-0.03,85.0,0.072,0.092,80.0,0.062,0.1,1.0,1.0,-1.0,6.3,3.1,3.1,,
41,CoRoT-13 b,4.03519,1.308,0.051069,0.0,88.02,0.885,,0.374,1,Transit,2010,102.721125,-5.086416667,0.738,15.039,1310.0,1.09,1.01,5945.0,4.46,0.01,3e-05,0.066,0.00085115,,0.036,0.014,,0.054,100.0,0.02,0.03,90.0,0.05,0.07,3e-05,0.066,0.00085115,,0.036,0.014,,-0.054,100.0,0.02,0.03,90.0,-0.05,0.07,4.0,1.0,-1.0,1.635,1.515,-1.515,,
42,CoRoT-14 b,1.51214,7.56823,0.0269122,0.0,79.6,1.09,,0.86,1,Transit,2011,103.4242083,-5.536027778,0.858,16.033,1340.0,1.13,1.21,6035.0,4.35,0.05,0.00013,0.453047,0.000714486,,0.8,0.07,,0.02,110.0,0.09,0.08,100.0,0.15,0.15,-0.00013,0.453047,0.000714486,,0.8,0.07,,-0.02,110.0,0.09,0.08,100.0,-0.15,0.15,9.0,0.5,-0.5,4.2,3.8,3.8,,
43,CoRoT-16 b,5.35227,0.535,0.0618,0.33,85.01,1.17,,0.825,1,Transit,2012,278.5246376,-6.002583333,1.05,15.63,840.0,1.098,1.19,5650.0,4.36,0.19,0.0002,0.085,0.0015,0.09,0.94,0.14,,0.03,90.0,0.078,0.14,100.0,0.1,0.06,0.0002,0.085,0.0015,-0.1,-1.2,0.14,,-0.039,90.0,0.078,0.14,100.0,-0.1,0.06,0.5,0.5,0.5,6.73,2.8,2.8,,
44,CoRoT-17 b,3.768125,2.43,0.0461,0.0,88.34,1.02,,0.18,1,Transit,2011,278.699225,-6.61225,1.5,15.46,919.997,1.04,1.5121,5740.0,4.4,0.0,0.000257,0.16,0.0008,,1.54,0.07,,0.16,49.9996,0.1,0.0494171,80.0,0.1,0.1,0.000257,0.16,0.0008,,1.54,0.07,,-0.16,49.9998,0.1,0.0494171,80.0,-0.1,0.1,4.5,0.5,-0.5,10.7,1.0,1.0,,
45,CoRoT-18 b,1.9000693,3.48002,0.0295483,0.04,86.5,1.31,10.0,0.4,1,Transit,2011,98.1724125,-0.031583334,0.79,15.0,870.0,0.95,1.0,5440.0,4.4,-0.1,2.8e-06,0.375551,0.00155517,0.04,0.9,0.18,20.0,0.08,90.0,0.15,0.13,100.0,0.1,0.1,2.8e-06,0.375551,0.00155517,0.04,0.9,0.18,20.0,-0.14,90.0,0.15,0.13,100.0,-0.1,0.1,8.0,1.0,-1.0,,,,,
